"Date","Source","Site ID","POC","Daily Max 1-hour NO2 Concentration","Units","Daily AQI Value","Local Site Name","Daily Obs Count","Percent Complete","AQS Parameter Code","AQS Parameter Description","Method Code","CBSA Code","CBSA Name","State FIPS Code","State","County FIPS Code","County","Site Latitude","Site Longitude"
"01/02/2023","AQS","130890002","2","13.1","ppb","12","South DeKalb","24","100.0000","42602","Nitrogen dioxide (NO2)","256","12060","Atlanta-Sandy Springs-Roswell, GA","13","Georgia","089","DeKalb","33.6878000008711","-84.2905"
"01/03/2023","AQS","130890002","2","9.2","ppb","8","South DeKalb","24","100.0000","42602","Nitrogen dioxide (NO2)","256","12060","Atlanta-Sandy Springs-Roswell, GA","13","Georgia","089","DeKalb","33.6878000008711","-84.2905"
"01/04/2023","AQS","130890002","2","32.3","ppb","30","South DeKalb","24","100.0000","42602","Nitrogen dioxide (NO2)","256","12060","Atlanta-Sandy Springs-Roswell, GA","13","Georgia","089","DeKalb","33.6878000008711","-84.2905"
"01/05/2023","AQS","130890002","2","37.5","ppb","35","South DeKalb","24","100.0000","42602","Nitrogen dioxide (NO2)","256","12060","Atlanta-Sandy Springs-Roswell, GA","13","Georgia","089","DeKalb","33.6878000008711","-84.2905"
"01/06/2023","AQS","130890002","2","33.1","ppb","31","South DeKalb","24","100.0000","42602","Nitrogen dioxide (NO2)","256","12060","Atlanta-Sandy Springs-Roswell, GA","13","Georgia","089","DeKalb","33.6878000008711","-84.2905"
"01/07/2023","AQS","130890002","2","31.5","ppb","29","South DeKalb","24","100.0000","42602","Nitrogen dioxide (NO2)","256","12060","Atlanta-Sandy Springs-Roswell, GA","13","Georgia","089","DeKalb","33.6878000008711","-84.2905"
"01/09/2023","AQS","130890002","2","27.2","ppb","25","South DeKalb","24","100.0000","42602","Nitrogen dioxide (NO2)","256","12060","Atlanta-Sandy Springs-Roswell, GA","13","Georgia","089","DeKalb","33.6878000008711","-84.2905"
"01/10/2023","AQS","130890002","2","35","ppb","33","South DeKalb","24","100.0000","42602","Nitrogen dioxide (NO2)","256","12060","Atlanta-Sandy Springs-Roswell, GA","13","Georgia","089","DeKalb","33.6878000008711","-84.2905"
"01/11/2023","AQS","130890002","2","27.7","ppb","25","South DeKalb","24","100.0000","42602","Nitrogen dioxide (NO2)","256","12060","Atlanta-Sandy Springs-Roswell, GA","13","Georgia","089","DeKalb","33.6878000008711","-84.2905"
"01/12/2023","AQS","130890002","2","23","ppb","22","South DeKalb","24","100.0000","42602","Nitrogen dioxide (NO2)","256","12060","Atlanta-Sandy Springs-Roswell, GA","13","Georgia","089","DeKalb","33.6878000008711","-84.2905"
"01/13/2023","AQS","130890002","2","7.4","ppb","7","South DeKalb","19","79.0000","42602","Nitrogen dioxide (NO2)","256","12060","Atlanta-Sandy Springs-Roswell, GA","13","Georgia","089","DeKalb","33.6878000008711","-84.2905"
"01/14/2023","AQS","130890002","2","6.5","ppb","6","South DeKalb","24","100.0000","42602","Nitrogen dioxide (NO2)","256","12060","Atlanta-Sandy Springs-Roswell, GA","13","Georgia","089","DeKalb","33.6878000008711","-84.2905"
"01/15/2023","AQS","130890002","2","40.2","ppb","38","South DeKalb","24","100.0000","42602","Nitrogen dioxide (NO2)","256","12060","Atlanta-Sandy Springs-Roswell, GA","13","Georgia","089","DeKalb","33.6878000008711","-84.2905"
"01/16/2023","AQS","130890002","2","38.2","ppb","36","South DeKalb","24","100.0000","42602","Nitrogen dioxide (NO2)","256","12060","Atlanta-Sandy Springs-Roswell, GA","13","Georgia","089","DeKalb","33.6878000008711","-84.2905"
"01/17/2023","AQS","130890002","2","28.5","ppb","26","South DeKalb","24","100.0000","42602","Nitrogen dioxide (NO2)","256","12060","Atlanta-Sandy Springs-Roswell, GA","13","Georgia","089","DeKalb","33.6878000008711","-84.2905"
"01/20/2023","AQS","130890002","2","16.7","ppb","15","South DeKalb","19","79.0000","42602","Nitrogen dioxide (NO2)","256","12060","Atlanta-Sandy Springs-Roswell, GA","13","Georgia","089","DeKalb","33.6878000008711","-84.2905"
"01/21/2023","AQS","130890002","2","15.2","ppb","14","South DeKalb","24","100.0000","42602","Nitrogen dioxide (NO2)","256","12060","Atlanta-Sandy Springs-Roswell, GA","13","Georgia","089","DeKalb","33.6878000008711","-84.2905"
"01/22/2023","AQS","130890002","2","17.1","ppb","16","South DeKalb","24","100.0000","42602","Nitrogen dioxide (NO2)","256","12060","Atlanta-Sandy Springs-Roswell, GA","13","Georgia","089","DeKalb","33.6878000008711","-84.2905"
"01/23/2023","AQS","130890002","2","24.6","ppb","23","South DeKalb","24","100.0000","42602","Nitrogen dioxide (NO2)","256","12060","Atlanta-Sandy Springs-Roswell, GA","13","Georgia","089","DeKalb","33.6878000008711","-84.2905"
"01/24/2023","AQS","130890002","2","24.6","ppb","23","South DeKalb","24","100.0000","42602","Nitrogen dioxide (NO2)","256","12060","Atlanta-Sandy Springs-Roswell, GA","13","Georgia","089","DeKalb","33.6878000008711","-84.2905"
"01/25/2023","AQS","130890002","2","12.9","ppb","11","South DeKalb","24","100.0000","42602","Nitrogen dioxide (NO2)","256","12060","Atlanta-Sandy Springs-Roswell, GA","13","Georgia","089","DeKalb","33.6878000008711","-84.2905"
"01/26/2023","AQS","130890002","2","27.2","ppb","25","South DeKalb","24","100.0000","42602","Nitrogen dioxide (NO2)","256","12060","Atlanta-Sandy Springs-Roswell, GA","13","Georgia","089","DeKalb","33.6878000008711","-84.2905"
"01/27/2023","AQS","130890002","2","32.2","ppb","30","South DeKalb","19","79.0000","42602","Nitrogen dioxide (NO2)","256","12060","Atlanta-Sandy Springs-Roswell, GA","13","Georgia","089","DeKalb","33.6878000008711","-84.2905"
"01/28/2023","AQS","130890002","2","32.8","ppb","30","South DeKalb","24","100.0000","42602","Nitrogen dioxide (NO2)","256","12060","Atlanta-Sandy Springs-Roswell, GA","13","Georgia","089","DeKalb","33.6878000008711","-84.2905"
"01/29/2023","AQS","130890002","2","32.3","ppb","30","South DeKalb","24","100.0000","42602","Nitrogen dioxide (NO2)","256","12060","Atlanta-Sandy Springs-Roswell, GA","13","Georgia","089","DeKalb","33.6878000008711","-84.2905"
"01/30/2023","AQS","130890002","2","24.7","ppb","23","South DeKalb","24","100.0000","42602","Nitrogen dioxide (NO2)","256","12060","Atlanta-Sandy Springs-Roswell, GA","13","Georgia","089","DeKalb","33.6878000008711","-84.2905"
"01/31/2023","AQS","130890002","2","20.4","ppb","19","South DeKalb","24","100.0000","42602","Nitrogen dioxide (NO2)","256","12060","Atlanta-Sandy Springs-Roswell, GA","13","Georgia","089","DeKalb","33.6878000008711","-84.2905"
"02/01/2023","AQS","130890002","2","17.1","ppb","16","South DeKalb","24","100.0000","42602","Nitrogen dioxide (NO2)","256","12060","Atlanta-Sandy Springs-Roswell, GA","13","Georgia","089","DeKalb","33.6878000008711","-84.2905"
"02/02/2023","AQS","130890002","2","18.5","ppb","17","South DeKalb","24","100.0000","42602","Nitrogen dioxide (NO2)","256","12060","Atlanta-Sandy Springs-Roswell, GA","13","Georgia","089","DeKalb","33.6878000008711","-84.2905"
"02/03/2023","AQS","130890002","2","9.9","ppb","8","South DeKalb","19","79.0000","42602","Nitrogen dioxide (NO2)","256","12060","Atlanta-Sandy Springs-Roswell, GA","13","Georgia","089","DeKalb","33.6878000008711","-84.2905"
"02/04/2023","AQS","130890002","2","25.4","ppb","24","South DeKalb","24","100.0000","42602","Nitrogen dioxide (NO2)","256","12060","Atlanta-Sandy Springs-Roswell, GA","13","Georgia","089","DeKalb","33.6878000008711","-84.2905"
"02/05/2023","AQS","130890002","2","32.1","ppb","30","South DeKalb","24","100.0000","42602","Nitrogen dioxide (NO2)","256","12060","Atlanta-Sandy Springs-Roswell, GA","13","Georgia","089","DeKalb","33.6878000008711","-84.2905"
"02/06/2023","AQS","130890002","2","43.5","ppb","41","South DeKalb","24","100.0000","42602","Nitrogen dioxide (NO2)","256","12060","Atlanta-Sandy Springs-Roswell, GA","13","Georgia","089","DeKalb","33.6878000008711","-84.2905"
